2017-06-24 16:31:18 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-frontend-001"
2017-06-24 16:31:18 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-001"
2017-06-24 16:31:18 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-002"
2017-06-24 16:31:19 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-003"
2017-06-24 16:31:19 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-004"
2017-06-24 16:31:19 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-005"
2017-06-24 16:31:19 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-006"
2017-06-24 16:31:20 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-007"
2017-06-24 16:31:20 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-008"
2017-06-24 16:31:20 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-009"
2017-06-24 16:31:20 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-010"
2017-06-24 16:31:20 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-011"
2017-06-24 16:31:21 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-012"
2017-06-24 16:31:21 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-013"
2017-06-24 16:31:21 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-014"
2017-06-24 16:31:21 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-015"
2017-06-24 16:31:21 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-016"
2017-06-24 16:31:21 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-017"
2017-06-24 16:31:22 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-018"
2017-06-24 16:31:22 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-019"
2017-06-24 16:31:22 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-020"
